#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2019-02-03 06:02:32
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-bytes cs-bytes 
2019-02-03 06:15:41 W3SVC80210 GET /index.php - - 138.197.11.230 HTTP/1.1 Mozilla/5.0+(X11;+Datanyze;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/65.0.3325.181+Safari/537.36 http://cemza.com cemza.com 302 359 395
2019-02-03 06:15:41 W3SVC80210 GET /cgi-bin/video.html - - 138.197.11.230 HTTP/1.1 Mozilla/5.0+(X11;+Datanyze;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/65.0.3325.181+Safari/537.36 http://www.cemza.com www.cemza.com 200 735 421
2019-02-03 06:15:41 W3SVC80210 GET /cgi-bin/contactosp.html - - 138.197.11.230 HTTP/1.1 Mozilla/5.0+(X11;+Datanyze;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/65.0.3325.181+Safari/537.36 http://www.cemza.com www.cemza.com 200 1640 426
2019-02-03 06:15:43 W3SVC80210 GET /CGI-BIN/index.html - - 138.197.11.230 HTTP/1.1 Mozilla/5.0+(X11;+Datanyze;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/65.0.3325.181+Safari/537.36 http://cemza.com/ www.cemza.com 200 4189 408
2019-02-03 06:15:43 W3SVC80210 GET /cgi-bin/en/index.html - - 138.197.11.230 HTTP/1.1 Mozilla/5.0+(X11;+Datanyze;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/65.0.3325.181+Safari/537.36 http://www.cemza.com/cgi-bin/en www.cemza.com 200 4004 427
2019-02-03 06:25:48 W3SVC80210 GET /wp-login.php - - 86.120.226.101 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:40.0)+Gecko/20100101+Firefox/40.1 - www.cemza.com 404 4173 174
2019-02-03 06:25:50 W3SVC80210 GET /index.php - - 86.120.226.101 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:40.0)+Gecko/20100101+Firefox/40.1 - www.cemza.com 302 359 162
2019-02-03 06:25:50 W3SVC80210 GET /CGI-BIN/index.html - - 86.120.226.101 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:40.0)+Gecko/20100101+Firefox/40.1 - www.cemza.com 200 22594 170
2019-02-03 06:31:34 W3SVC80210 GET /index.php - - 18.205.72.90 HTTP/1.1 Mozilla/5.0+(compatible;+MxToolbox/Beta7;+http://www.mxtoolbox.com/) - www.cemza.com 302 359 229
2019-02-03 06:31:34 W3SVC80210 GET /CGI-BIN/index.html - - 18.205.72.90 HTTP/1.1 Mozilla/5.0+(compatible;+MxToolbox/Beta7;+http://www.mxtoolbox.com/) - www.cemza.com 200 22594 213
